ID,Posted at,Screen name,Text
585682963540631552,2015-04-08 05:57:54 +0000,noruweijin,RT @arnicas: True story: @cambecc's laptop died right before the session but all his talk stuff and code were loaded onto @jonobr1's laptop #openvisconf
585682899573309440,2015-04-08 05:57:39 +0000,cambecc,RT @arnicas: True story: @cambecc's laptop died right before the session but all his talk stuff and code were loaded onto @jonobr1's laptop #openvisconf
585682321786990592,2015-04-08 05:55:21 +0000,borcaBean,"RT @dominikus: ""the power of visualization: implicit authority. no one actually checks your stuff"" @cambecc at #openvisconf"
585675163196338176,2015-04-08 05:26:54 +0000,SoHamann,RT @jsundram: Feature selection graphic from @adamperer. I see faces/beards/hairstyles everywhere... #openvisconf http://t.co/JM0RUrfWK6
585675105864409088,2015-04-08 05:26:41 +0000,SoHamann,RT @iamctodd: Visualization and Prediction with @adamperer at #openvisconf .. #sketchnotes http://t.co/vhTzeYAkbY
585674446519799808,2015-04-08 05:24:04 +0000,chumpita,RT @moebio: Subscribe to Lichen (recently featured at #openvisconf) mailing list to be notified about launch and major releases http://t.co/8QeebH8DmF
585671822022160385,2015-04-08 05:13:38 +0000,micahstubbs,RT @iamctodd: Get humans to connect w/ data : #sketchnotes of @laneharrison at #openvisconf http://t.co/UFNSduBr2Y
585671581436928000,2015-04-08 05:12:40 +0000,ConfIQ_HQ,"RT @kennethfield: As a Brit I rarely, if ever, use the word 'awesome' which is overused on this side of the pond... but #openvisconf was, indeed, awesome."
585671399043375104,2015-04-08 05:11:57 +0000,micahstubbs,"RT @boonerang: C’mon, we all know the rule, “Never go full Tufte.” #openvisconf"
585670433900486657,2015-04-08 05:08:07 +0000,micahstubbs,"RT @rjweise: I'll stick with SVG for now, but very cool to see other options (canvas/webGL/Three/Pixi) and why to use one by @dominikus at #openvisconf"
585669960749449217,2015-04-08 05:06:14 +0000,micahstubbs,RT @arnicas: Slightly nerve wracking illo of model creation and eval process using #openvisconf speakers today from @adamperer http://t.co/TtueEruwbF
585669477108420609,2015-04-08 05:04:19 +0000,micahstubbs,"RT @KristinHenry: Coquito, a cohort construction tool. Need to check this out...predictive modeling. Mentioned by Adam Perera at #openvisconf"
585669218361864192,2015-04-08 05:03:17 +0000,micahstubbs,RT @OpenVisConf: Demos of using visualizations in predictive modeling pipelines with @adamperer 📊📈📉+🔮 #openvisconf http://t.co/KsoXOO9f5S
585669179400970242,2015-04-08 05:03:08 +0000,micahstubbs,RT @arnicas: Fascinating glyphs for feature selection algorithm differences by @adamperer #openvisconf http://t.co/43b4lLTRee
585669091110838272,2015-04-08 05:02:47 +0000,micahstubbs,RT @jsundram: Feature selection graphic from @adamperer. I see faces/beards/hairstyles everywhere... #openvisconf http://t.co/JM0RUrfWK6
585669016255123457,2015-04-08 05:02:29 +0000,micahstubbs,RT @Zebraengine: Some take aways on visual predictive modeling #openvisconf http://t.co/1PiMASLlQI
585668803364806656,2015-04-08 05:01:38 +0000,micahstubbs,RT @iamctodd: Performance vs Pain @dominikus & Why Big Data is Hard @fisherdanyel #sketchnotes at #openvisconf http://t.co/WcJUR6Pv3Y
585668558081916930,2015-04-08 05:00:40 +0000,micahstubbs,RT @hfairfield: Love this; thank you! MT @iamctodd: #sketchnotes of @moebio & @hfairfield's talks at #openvisconf http://t.co/kSLOeJopPG
585667881213550592,2015-04-08 04:57:58 +0000,micahstubbs,"RT @iamctodd: ""CSS has friends!"" - @vlh at #openvisconf -- #sketchnotes http://t.co/gM5qlNTMIt"
585667548802322432,2015-04-08 04:56:39 +0000,micahstubbs,RT @OpenVisConf: Visions/ visualizations of earth http://t.co/giR1PVN0N4 before earth + a demo with @cambecc #openvisconf 🌍🌎🌏 http://t.co/pbPBh6eSo6
585667472327630850,2015-04-08 04:56:21 +0000,micahstubbs,"RT @arnicas: Ah, sea surface temp anomalies in earth.null now @cambecc #openvisconf http://t.co/GiXF3EyiLX"
585667009033166850,2015-04-08 04:54:30 +0000,micahstubbs,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585666825771417600,2015-04-08 04:53:47 +0000,micahstubbs,"RT @Swizec: “Massage your data so gzip can be more effective” ~ @cambecc 

Brilliant. #openvisconf"
585666443225726978,2015-04-08 04:52:15 +0000,micahstubbs,"RT @kosamari: I'm so making scrollytelling with small multiples and connected scatter plot using WebGL loop animation of big data ! Thanks
 #openvisconf"
585666312619356160,2015-04-08 04:51:44 +0000,micahstubbs,RT @erik_petersen: Fantastic conf summary “@georgiamoon #openvisconf notes! http://t.co/cxgLyw9SpX”
585665681796030464,2015-04-08 04:49:14 +0000,micahstubbs,RT @willcrumbley: An #openvisconf talk taxonomy: 1) my new tool 2) my cool vis with latest tech (WebGL) 3) my how-to 4) my new research 5) my random thoughts
585665588254617600,2015-04-08 04:48:52 +0000,micahstubbs,RT @pi_inthecloud: Having fun with @laurmccarthy's p5.js face tracking example #openvisconfaftermath #openvisconf cc @esdot http://t.co/l5mxiQyfjQ
585663140316217344,2015-04-08 04:39:08 +0000,Aethylred,"RT @dominikus: ""the power of visualization: implicit authority. no one actually checks your stuff"" @cambecc at #openvisconf"
585662527868116993,2015-04-08 04:36:42 +0000,keith_ng,"RT @dominikus: ""the power of visualization: implicit authority. no one actually checks your stuff"" @cambecc at #openvisconf"
585661313151533056,2015-04-08 04:31:52 +0000,Swizec,RT @willcrumbley: An #openvisconf talk taxonomy: 1) my new tool 2) my cool vis with latest tech (WebGL) 3) my how-to 4) my new research 5) my random thoughts
585660501482438659,2015-04-08 04:28:39 +0000,zhoyoyo,"RT @JessSchillinger: Podcasts, tuts, and videos about CSS animations from @vlh at http://t.co/enu2j8xICl #openvisconf"
